Year,Term,Course,Status,Start Time,End Time,Days of Week
2019,Fall,AAS-100,Open,9:00 AM,9:50 AM,F
2019,Fall,AAS-100,Open,12:00 PM,12:50 PM,F
2019,Fall,AAS-100,Open,1:00 PM,1:50 PM,F
2019,Fall,AAS-100,Open,10:00 AM,10:50 AM,F
2019,Fall,AAS-100,Open,11:00 AM,11:50 AM,F
2019,Fall,AAS-100,Open,2:00 PM,2:50 PM,F
2019,Fall,AAS-100,Open,10:00 AM,10:50 AM,F
2019,Fall,AAS-100,Open,11:00 AM,11:50 AM,F
2019,Fall,AAS-100,Open,1:00 PM,1:50 PM,MW
2019,Fall,AAS-120,Open,11:00 AM,12:20 PM,TR
2019,Fall,AAS-200,CrossListOpen,3:30 PM,4:50 PM,TR
2019,Fall,AAS-20,Closed,9:00 AM,9:50 AM,F
2019,Fall,AAS-20,Closed,10:00 AM,10:50 AM,F
2019,Fall,AAS-20,Closed,2:00 PM,2:50 PM,F
2019,Fall,AAS-20,Closed,9:00 AM,9:50 AM,F
2019,Fall,AAS-20,Closed,10:00 AM,10:50 AM,F
2019,Fall,AAS-20,Closed,2:00 PM,2:50 PM,F
2019,Fall,AAS-20,Closed,11:00 AM,11:50 AM,F
2019,Fall,AAS-20,Closed,1:00 PM,1:50 PM,F
2019,Fall,AAS-20,Closed,1:00 PM,1:50 PM,MW
2019,Fall,AAS-246,Open,3:00 PM,5:20 PM,M
2019,Fall,AAS-275,CrossListOpen,3:00 PM,3:50 PM,W
2019,Fall,AAS-275,CrossListOpen,4:00 PM,4:50 PM,W
2019,Fall,AAS-275,CrossListOpen,9:30 AM,10:20 AM,R
2019,Fall,AAS-275,Closed,11:00 AM,11:50 AM,R
2019,Fall,AAS-275,CrossListOpen,12:00 PM,12:50 PM,MW
2019,Fall,AAS-281,CrossListOpen,2:00 PM,2:50 PM,F
2019,Fall,AAS-281,Closed,11:00 AM,11:50 AM,F
2019,Fall,AAS-281,CrossListOpen,4:00 PM,4:50 PM,W
2019,Fall,AAS-281,CrossListOpen,2:00 PM,2:50 PM,MW
2019,Fall,AAS-283,CrossListOpen,9:30 AM,10:50 AM,TR
2019,Fall,AAS-287,Open,3:00 PM,4:20 PM,MW
2019,Fall,AAS-297,Closed,5:00 PM,6:15 PM,MW
2019,Fall,AAS-310,CrossListOpen,2:00 PM,3:50 PM,R
2019,Fall,AAS-310,CrossListOpen,2:00 PM,3:50 PM,T
2019,Fall,AAS-310,Closed,2:00 PM,3:50 PM,R
2019,Fall,AAS-310,Closed,2:00 PM,3:50 PM,T
